Product Id,Description,Sum of Quantity,Sum of Total Cost Price,Sum of Total Selling Price,Profit Rupees,Profit %,Weekday/Weekend/Holiday
15056P,EDWARDIAN PARASOL PINK,119,41393.8728,41988.8728,595,1.437410804,Weekend
15056P,EDWARDIAN PARASOL PINK,4,1654.3189,1674.3189,20,1.20895675,Holiday
15058A,BLUE POLKADOT GARDEN PARASOL,1,430.4215,435.4215,5,1.161652009,Holiday
15058A,BLUE POLKADOT GARDEN PARASOL,108,49771.722,50311.722,540,1.08495342,Weekday
15058A,BLUE POLKADOT GARDEN PARASOL,36,17169.4929,17349.4929,180,1.048371091,Weekend
15058B,PINK POLKADOT GARDEN PARASOL,5,2152.1075,2177.1075,25,1.161652009,Holiday
15058B,PINK POLKADOT GARDEN PARASOL,145,62872.8286,63597.8286,725,1.153121334,Weekday
15058B,PINK POLKADOT GARDEN PARASOL,30,14312.5662,14462.5662,150,1.048030087,Weekend
15058C,ICE CREAM DESIGN GARDEN PARASOL,122,40894.1583,41504.1583,610,1.491655594,Weekday
15058C,ICE CREAM DESIGN GARDEN PARASOL,23,11920.1598,12035.1598,115,0.964752167,Weekend
15060B,FAIRY CAKE DESIGN UMBRELLA,276,58413.5044,59793.5044,1380,2.362467402,Weekday
15060B,FAIRY CAKE DESIGN UMBRELLA,85,19779.1053,20204.1053,425,2.148732177,Weekend
15060B,FAIRY CAKE DESIGN UMBRELLA,3,1118.1913,1133.1913,15,1.34145204,Holiday
16008,SMALL FOLDING SCISSOR(POINTED EDGE),1984,4900,13688.6661,8788.6661,179.3605327,Weekday
16008,SMALL FOLDING SCISSOR(POINTED EDGE),318,1405,2175.4644,770.4644,54.83732384,Weekend
16008,SMALL FOLDING SCISSOR(POINTED EDGE),50,280,342.8602,62.8602,22.45007143,Holiday
16010,FOLDING CAMPING SCISSOR W/KNIF & S,18,88,118.3032,30.3032,34.43545455,Weekday
16010,FOLDING CAMPING SCISSOR W/KNIF & S,12,60,78.8688,18.8688,31.448,Weekend
16011,ANIMAL STICKERS,1357,8822.8069,15607.8069,6785,76.90296384,Weekday
16011,ANIMAL STICKERS,368,2392.6256,4232.6256,1840,76.90296384,Weekend
16012,FOOD/DRINK SPONGE STICKERS,795,5168.8515,9143.8515,3975,76.90296384,Weekday
16012,FOOD/DRINK SPONGE STICKERS,325,2113.0525,3738.0525,1625,76.90296384,Weekend
16012,FOOD/DRINK SPONGE STICKERS,4,26.0068,46.0068,20,76.90296384,Holiday
16014,SMALL CHINESE STYLE SCISSOR,1021,12904.4714,18009.4714,5105,39.55993114,Holiday
16014,SMALL CHINESE STYLE SCISSOR,4726,60437.5684,84067.5684,23630,39.09819774,Weekend
16014,SMALL CHINESE STYLE SCISSOR,6915,88783.471,123358.471,34575,38.94305957,Weekday
16015,MEDIUM CHINESE STYLE SCISSOR,411,6953.5696,9008.5696,2055,29.55316648,Weekday
16015,MEDIUM CHINESE STYLE SCISSOR,230,5148.55,6298.55,1150,22.33638597,Weekend
16015,MEDIUM CHINESE STYLE SCISSOR,21,470.085,575.085,105,22.33638597,Holiday
16016,LARGE CHINESE STYLE SCISSOR,783,30970.7515,34885.7515,3915,12.640959,Weekday
16016,LARGE CHINESE STYLE SCISSOR,418,17369.781,19459.781,2090,12.0323912,Weekend
16016,LARGE CHINESE STYLE SCISSOR,22,914.199,1024.199,110,12.0323912,Holiday
16020C,CLEAR STATIONERY BOX SET,10,404.591,454.591,50,12.35815923,Weekend
16020C,CLEAR STATIONERY BOX SET,71,2882.4547,3237.4547,355,12.31589173,Weekday
16033,MINI HIGHLIGHTER PENS,600,2505,3943.44,1438.44,57.42275449,Weekday
16033,MINI HIGHLIGHTER PENS,240,1010,1577.376,567.376,56.17584158,Weekend
16043,POP ART PUSH DOWN RUBBER,74,290,486.3576,196.3576,67.70951724,Weekday
16043,POP ART PUSH DOWN RUBBER,24,100,157.7376,57.7376,57.7376,Weekend
16046,TEATIME PEN CASE & PENS,47,1953.0615,2188.0615,235,12.0323912,Weekday
16046,TEATIME PEN CASE & PENS,17,706.4265,791.4265,85,12.0323912,Weekend
16048,TEATIME ROUND PENCIL SHARPENER,197,504.1963,1489.1963,985,195.3604182,Weekend
16048,TEATIME ROUND PENCIL SHARPENER,1129,3032.7588,8677.7588,5645,186.1341561,Weekday
16048,TEATIME ROUND PENCIL SHARPENER,2,83.109,93.109,10,12.0323912,Holiday
16049,TEATIME GEL PENS ASST,180,874.548,1774.548,900,102.9103034,Weekday
16049,TEATIME GEL PENS ASST,180,874.548,1774.548,900,102.9103034,Weekend
16052,TEATIME PUSH DOWN RUBBER,50,340.4206,590.4206,250,73.43856394,Weekend
16052,TEATIME PUSH DOWN RUBBER,405,3147.4788,5172.4788,2025,64.33720856,Weekday
16054,POPART RECT PENCIL SHARPENER ASST,842,3700,5566.8228,1866.8228,50.45467027,Weekday
16054,POPART RECT PENCIL SHARPENER ASST,360,1825,2366.064,541.064,29.64734247,Weekend
16151A,FLOWERS HANDBAG blue and orange,47,2982.7375,3217.7375,235,7.878668505,Weekday
16151A,FLOWERS HANDBAG blue and orange,2,126.925,136.925,10,7.878668505,Weekend
16156L,WRAP CAROUSEL,325,5851.105,7476.105,1625,27.77253186,Weekday
16156L,"WRAP, CAROUSEL",100,1800.34,2300.34,500,27.77253186,Weekday
16156L,WRAP CAROUSEL,50,900.17,1150.17,250,27.77253186,Weekend
16156S,WRAP PINK FAIRY CAKES,2775,48809.265,62684.265,13875,28.42698,Weekday
16156S,WRAP PINK FAIRY CAKES,900,16203.06,20703.06,4500,27.77253186,Weekend
16156S,WRAP PINK FAIRY CAKES,50,900.17,1150.17,250,27.77253186,Holiday
16161G,WRAP BAD HAIR DAY,425,1500,2327.725,827.725,55.18166667,Weekday
16161G,WRAP BAD HAIR DAY,275,1200.75,1506.175,305.425,25.43618572,Weekend
16161M,WRAP  PINK FLOCK,25,450.085,575.085,125,27.77253186,Weekday
16161P,WRAP ENGLISH ROSE,1350,23647.35,30397.35,6750,28.54442464,Weekend
16161P,WRAP ENGLISH ROSE,3676,64427.8584,82807.8584,18380.0000000002,28.5280319,Weekday
16161P,WRAP ENGLISH ROSE,100,1800.34,2300.34,500,27.77253186,Holiday
16161U,WRAP SUKI AND FRIENDS,2125,38257.225,48882.225,10625,27.77253186,Weekday
16161U,WRAP SUKI AND FRIENDS,750,13502.55,17252.55,3750,27.77253186,Weekend
16161U,WRAP SUKI AND FRIENDS,50,900.17,1150.17,250,27.77253186,Holiday
16162L,THE KING GIFT BAG,19,581.4095,676.4095,95,16.33960229,Weekday
16162L,THE KING GIFT BAG,1,30.6005,35.6005,5,16.33960229,Weekend
16162M,THE KING GIFT BAG 25x24x12cm,25,450.085,575.085,125,27.77253186,Weekday
16162M,THE KING GIFT BAG 25x24x12cm,3,54.0102,69.0102,15,27.77253186,Weekend
16168M,FUNKY MONKEY GIFT BAG MEDIUM,282,5731.4603,7141.4603,1410,24.60106022,Weekday
16168M,FUNKY MONKEY GIFT BAG MEDIUM,40,989.6044,1189.6044,200,20.21009607,Weekend
16168M,FUNKY MONKEY GIFT BAG MEDIUM,1,41.5545,46.5545,5,12.0323912,Holiday
16169E,WRAP 50'S  CHRISTMAS,1000,17346.16,22346.16,5000,28.82482348,Weekend
16169E,WRAP 50'S  CHRISTMAS,2087,36915.8558,47350.8558,10435,28.26698657,Weekday
16169E,WRAP 50'S  CHRISTMAS,75,1350.255,1725.255,375,27.77253186,Holiday
16169K,WRAP FOLK ART,200,3600.68,4600.68,1000,27.77253186,Weekday
16169M,WRAP DAISY CARPET,560,10081.904,12881.904,2800,27.77253186,Weekday
16169M,WRAP DAISY CARPET,75,1350.255,1725.255,375,27.77253186,Weekend
16169N,WRAP BLUE RUSSIAN FOLKART,25,450.085,575.085,125,27.77253186,Weekday
16169P,WRAP GREEN RUSSIAN FOLKART,25,450.085,575.085,125,27.77253186,Holiday
16169P,WRAP GREEN RUSSIAN FOLKART,25,450.085,575.085,125,27.77253186,Weekday
16202A,PASTEL PINK PHOTO ALBUM,7,156.695,191.695,35,22.33638597,Weekday
16202B,PASTEL BLUE PHOTO ALBUM,24,537.24,657.24,120,22.33638597,Weekend
16202B,PASTEL BLUE PHOTO ALBUM,5,111.925,136.925,25,22.33638597,Weekday
16202E,BLACK PHOTO ALBUM,13,291.005,356.005,65,22.33638597,Weekday
16202E,BLACK PHOTO ALBUM,1,298.9735,303.9735,5,1.672389024,Holiday
16206B,RED PURSE WITH PINK HEART,7,444.2375,479.2375,35,7.878668505,Weekday
16207A,PINK STRAWBERRY HANDBAG,12,1629.1068,1689.1068,60,3.682999789,Weekend
16207A,PINK STRAWBERRY HANDBAG,42,6171.8004,6381.8004,210,3.402572773,Weekday
16207A,PINK STRAWBERRY HANDBAG,2,313.143,323.143,10,3.1934292,Holiday
16207B,PINK HEART RED HANDBAG,7,934.9767,969.9767,35,3.743408793,Weekend
16207B,PINK HEART RED HANDBAG,21,2960.4769,3065.4769,105,3.546725867,Weekday
16216,LETTER SHAPE PENCIL SHARPENER,824,1849.0961,4090.7713,2241.6752,121.2308652,Weekday
16216,LETTER SHAPE PENCIL SHARPENER,80,137.104,262.896,125.792,91.74932898,Holiday
16216,LETTER SHAPE PENCIL SHARPENER,714,1426.4937,2717.1397,1290.646,90.47681038,Weekend
16218,CARTOON  PENCIL SHARPENERS,2562,5361.4177,10647.8357,5286.418,98.60112186,Weekday
16218,CARTOON  PENCIL SHARPENERS,80,137.104,262.896,125.792,91.74932898,Holiday
16218,CARTOON  PENCIL SHARPENERS,609,1696.5966,2733.023,1036.4264,61.08855812,Weekend
16219,HOUSE SHAPE PENCIL SHARPENER,97,204.9839,360.9343,155.9504,76.07934087,Holiday
16219,HOUSE SHAPE PENCIL SHARPENER,2006,10777.0231,17317.7263,6540.7032,60.6911866,Weekday
16219,HOUSE SHAPE PENCIL SHARPENER,648,2000.358,3170.0876,1169.7296,58.47601279,Weekend
16225,RATTLE SNAKE EGGS,384,18297.2501,20217.2501,1920,10.4933801,Weekday
16225,RATTLE SNAKE EGGS,144,8061.2741,8781.2741,720.000000000001,8.931590603,Weekend
16225,RATTLE SNAKE EGGS,2,358.0544,368.0544,10,2.792871698,Holiday
16235,RECYCLED PENCIL WITH RABBIT ERASER,2046,14779.0774,25009.0774,10230,69.21947645,Weekday
16235,RECYCLED PENCIL WITH RABBIT ERASER,469,3695.5833,6040.5833,2345,63.45412374,Weekend
16235,RECYCLED PENCIL WITH RABBIT ERASER,5,92.7555,117.7555,25,26.95257963,Holiday
16236,KITTY PENCIL ERASERS,424,2999.8996,5119.8996,2120,70.66903172,Weekend
16236,KITTY PENCIL ERASERS,802,5811.3564,9821.3564,4010,69.00282351,Weekday
16236,KITTY PENCIL ERASERS,30,219.1498,369.1498,150,68.44633214,Holiday
16237,SLEEPING CAT ERASERS,162,854.4603,1664.4603,810,94.79668043,Holiday
16237,SLEEPING CAT ERASERS,2924,18534.4718,33154.4718,14620,78.88004664,Weekday
16237,SLEEPING CAT ERASERS,818,6334.3741,10424.3741,4090,64.56833675,Weekend
16238,PARTY TIME PENCIL ERASERS,59,419.7485,714.7485,295,70.28017968,Holiday
16238,PARTY TIME PENCIL ERASERS,910,6702.4965,11252.4965,4550,67.88515294,Weekday
16238,PARTY TIME PENCIL ERASERS,279,2320.5968,3715.5968,1395,60.11384658,Weekend
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,394.9445,429.9445,35,8.862004661,Weekday
16248B,BLUE HOLE PUNCH,10,634.625,684.625,50,7.878668505,Weekday
16248B,BLUE HOLE PUNCH,3,190.3875,205.3875,15,7.878668505,Weekend
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,35,1753.4517,1928.4517,175,9.980314827,Weekday
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,5,378.6549,403.6549,25,6.602317836,Weekend
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,57,774.7995,1059.7995,285,36.78370985,Weekend
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,377,5983.2582,7868.2582,1885,31.50457388,Weekday
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,1,18.0034,23.0034,5,27.77253186,Holiday
16259,PIECE OF CAMO STATIONERY SET,2120,5000,11595.9044,6595.9044,131.918088,Weekday
16259,PIECE OF CAMO STATIONERY SET,922,3000,4808.806,1808.806,60.29353333,Weekend
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,783.5976,1143.5976,360,45.94194775,Weekday
17003,BROCADE RING PURSE,11785,102867.1297,171792.1297,68925,67.00391097,Weekday
17003,BROCADE RING PURSE,5913,59539.7653,89104.7653,29565,49.65588939,Weekend
17003,BROCADE RING PURSE,78,921.1938,1311.1938,390,42.33636831,Holiday
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,2640.408,2760.408,120,4.544752175,Weekday
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,51,1835.0232,2090.0232,255,13.89628207,Weekday
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,30,1394.514,1544.514,150,10.75643558,Weekend
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,126,6502.6971,7132.6971,630,9.688287649,Weekend
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,173,10851.9461,11716.9461,865,7.970920534,Weekday
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,1,132.4727,137.4727,5,3.774362567,Holiday
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,323,17066.4993,18681.4993,1615,9.462983425,Weekday
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,148,9336.0369,10076.0369,740,7.926275441,Weekend
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,1,132.4727,137.4727,5,3.774362567,Holiday
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,119,7398.1338,7993.1338,595,8.042568789,Weekend
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,196,12631.4404,13611.4404,980,7.75841843,Weekday
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,316,18667.3736,20247.3736,1580,8.463965172,Weekday
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,109,6795.8231,7340.8231,545,8.019631941,Weekend
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,1,129.7342,134.7342,5,3.854033863,Holiday
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,1,132.4727,137.4727,5,3.774362567,Holiday
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,12,1600.6264,1660.6264,60,3.74853245,Weekday
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,106,5732.4018,6262.4018,530,9.245688256,Weekend
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,235,16198.5917,17373.5917,1175,7.253717001,Weekday
17013D,ORIGAMI ROSE INCENSE IN TUBE,216,4697.1396,5777.1396,1080,22.99271667,Weekend
17013D,ORIGAMI ROSE INCENSE IN TUBE,318,7117.3346,8707.3346,1590,22.33982368,Weekday
17013D,ORIGAMI ROSE INCENSE IN TUBE,1,179.0272,184.0272,5,2.792871698,Holiday
17014A,ORIGAMI VANILLA INCENSE CONES,12,216.0408,276.0408,60,27.77253186,Weekend
17014A,ORIGAMI VANILLA INCENSE CONES,5,90.017,115.017,25,27.77253186,Holiday
17014A,ORIGAMI VANILLA INCENSE CONES,138,2818.0185,3508.0185,690,24.48528993,Weekday
17021,NAMASTE SWAGAT INCENSE,600,4886.88,7886.88,3000,61.3888616,Holiday
17021,NAMASTE SWAGAT INCENSE,1365,13158.3822,19983.3822,6825,51.86807843,Weekday
17021,NAMASTE SWAGAT INCENSE,330,3535.6236,5185.6236,1650,46.66786363,Weekend
17028J,INCENSE BAZAAR PEACH,6,108.0204,138.0204,30,27.77253186,Weekday
17038,PORCELAIN BUDAH INCENSE HOLDER,139,386.1598,1081.1598,695,179.9773047,Weekend
17038,PORCELAIN BUDAH INCENSE HOLDER,1386,3500,7575.7864,4075.7864,116.45104,Weekday
17084A,TRANQUILITY MASALA INCENSE,175,1137.7975,2012.7975,875,76.90296384,Weekday
17084A,TRANQUILITY MASALA INCENSE,25,162.5425,287.5425,125,76.90296384,Weekend
17084J,LOVE POTION MASALA INCENSE,200,1300.34,2300.34,1000,76.90296384,Weekday
17084J,LOVE POTION MASALA INCENSE,25,162.5425,287.5425,125,76.90296384,Weekend
17084N,FAIRY DREAMS INCENSE,26,181.0936,311.0936,130,71.78608189,Holiday
17084N,FAIRY DREAMS INCENSE,661,5580.3371,8885.3371,3305,59.22581272,Weekday
17084N,FAIRY DREAMS INCENSE,377,3339.5103,5224.5103,1885,56.44540159,Weekend
17084P,DRAGONS BLOOD INCENSE,25,162.5425,287.5425,125,76.90296384,Holiday
17084P,DRAGONS BLOOD INCENSE,84,650.7535,1070.7535,420,64.5405672,Weekend
17084P,DRAGONS BLOOD INCENSE,311,2737.8726,4292.8726,1555,56.7959225,Weekday
17084R,ASSORTED INCENSE PACK,2520,12243.672,24843.672,12600,102.9103034,Weekend
17084R,ASSORTED INCENSE PACK,1440,8770.932,15970.932,7200,82.08933783,Weekday
17090A,LAVENDER INCENSE 40 CONES IN TIN,48,2257.512,2497.512,240,10.63117272,Weekend
17090A,LAVENDER INCENSE 40 CONES IN TIN,61,3082.5245,3387.5245,305,9.894487457,Weekday
17090D,VANILLA INCENSE 40 CONES IN TIN,19,1205.7875,1300.7875,95,7.878668505,Weekday
17090D,VANILLA INCENSE 40 CONES IN TIN,9,571.1625,616.1625,45,7.878668505,Weekend
17091A,LAVENDER INCENSE IN TIN,75,1710.0939,2085.0939,375,21.92862041,Weekday
17091A,LAVENDER INCENSE IN TIN,66,1615.4304,1945.4304,330,20.42799244,Weekend
17091A,LAVENDER INCENSE IN TIN,7,444.2375,479.2375,35,7.878668505,Holiday
17091J,VANILLA INCENSE IN TIN,1070,19146.4302,24496.4302,5350,27.94254566,Weekday
17091J,VANILLA INCENSE IN TIN,696,13420.3789,16900.3789,3480,25.93071348,Weekend
17091J,VANILLA INCENSE IN TIN,79,1651.7549,2046.7549,395,23.91395963,Holiday
17096,ASSORTED LAQUERED INCENSE HOLDERS,2312,10538.0519,22098.0519,11560,109.6976947,Weekday
17096,ASSORTED LAQUERED INCENSE HOLDERS,208,1536.3808,2576.3808,1040,67.69155147,Weekend
17096,ASSORTED LAQUERED INCENSE HOLDERS,1,18.5511,23.5511,5,26.95257963,Holiday
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",68,9157.118,9497.118,340,3.712958597,Weekday
17107D,FLOWER FAIRY 5 DRAWER LINERS,41,5521.2035,5726.2035,205,3.712958597,Weekday
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",19,2558.6065,2653.6065,95,3.712958597,Weekend
17107D,FLOWER FAIRY 5 DRAWER LINERS,13,1750.6255,1815.6255,65,3.712958597,Weekend
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",10,1346.635,1396.635,50,3.712958597,Holiday
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,807.981,837.981,30,3.712958597,Weekday
17109D,FLOWER FAIRY INCENSE BOUQUET,18,284.6268,374.6268,90,31.62035339,Weekday
17109D,FLOWER FAIRY INCENSE BOUQUET,43,1182.1827,1397.1827,215,18.18669822,Weekend
17129F,BLUE GLASS GEMS IN BAG,182,7533.3432,8443.3432,909.999999999999,12.0796302,Weekend
17129F,BLUE GLASS GEMS IN BAG,390,18725.1273,20675.1273,1950,10.41381438,Weekday
17136A,BLUE STONES ON WIRE FOR CANDLE,208,600,989.6939,389.6939,64.94898333,Weekday
17136A,BLUE STONES ON WIRE FOR CANDLE,120,400,525.792,125.792,31.448,Weekend
17136A,BLUE STONES ON WIRE FOR CANDLE,24,80,105.1584,25.1584,31.448,Holiday
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,17,306.0578,391.0578,85,27.77253186,Weekday
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,7,126.0238,161.0238,35,27.77253186,Weekend
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,2,36.0068,46.0068,10,27.77253186,Holiday
17165D,ASS COL LARGE SAND FROG P'WEIGHT,21,1102.6785,1207.6785,105,9.522267823,Weekday
17165D,ASS COL LARGE SAND FROG P'WEIGHT,6,315.051,345.051,30,9.522267823,Weekend
17174,ASSTD RASTA KEY-CHAINS,5,90.017,115.017,25,27.77253186,Weekday
17174,ASSTD RASTA KEY-CHAINS,4,72.0136,92.0136,20,27.77253186,Weekend
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,801.55,821.55,20,2.495165617,Weekday
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,2427,4283.7366,8192.4966,3908.76,91.24650661,Weekend
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,3421,6880.7171,13065.3835,6184.6664,89.88403839,Weekday
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,4,74.2044,94.2044,20,26.95257963,Holiday
18094C,WHITE AND BLUE CERAMIC OIL BURNER,12,761.55,821.55,60,7.878668505,Holiday
18094C,WHITE AND BLUE CERAMIC OIL BURNER,152,10721.4351,11481.4351,760,7.088603278,Weekday
18094C,WHITE AND BLUE CERAMIC OIL BURNER,18,1807.7805,1897.7805,90,4.978480518,Weekend
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,4,538.654,558.654,20,3.712958597,Weekday
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,1,134.6635,139.6635,5,3.712958597,Weekend
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,827,92469.9691,96604.9691,4135,4.471722052,Weekday
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,24,3231.924,3351.924,120,3.712958597,Holiday
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,71,10644.4591,10999.4591,355,3.335068477,Weekend
18098C,PORCELAIN BUTTERFLY OIL BURNER,87,12894.3749,13329.3749,435,3.37356408,Weekend
18098C,PORCELAIN BUTTERFLY OIL BURNER,95,16154.5681,16569.5681,415,2.568932809,Weekday
18098C,PORCELAIN BUTTERFLY OIL BURNER,4,950.5244,970.5244,20,2.104101694,Holiday
20615,BLUE POLKADOT PASSPORT COVER,172,12306.0368,13136.0368,830,6.744657224,Weekday
20615,BLUE POLKADOT PASSPORT COVER,98,7820.2521,8310.2521,490,6.265782659,Weekend
20615,BLUE POLKADOT PASSPORT COVER,1,110.017,115.017,5,4.544752175,Holiday
